USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
260,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
261,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
262,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
263,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
264,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
265,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
266,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
267,FEMALE,P,,S,1,MARRIED,,,,,,0.00
268,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
270,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
271,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
272,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
273,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
274,FEMALE,P,0117,N,1,SINGLE,1,,7,,560.00,0.00
275,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
276,FEMALE,P,,S,1,MARRIED,,,,,0.01,0.00
277,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
278,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
279,FEMALE,P,0117,N,1,MARRIED,1,,7,,5000.00,0.00
280,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
281,FEMALE,P,,S,1,SINGLE,0,,,,,0.00
282,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
283,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
284,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
285,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
286,FEMALE,P,0117,N,1,MARRIED,1,,7,,7500.00,0.00
287,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
288,FEMALE,P,,N,1,MARRIED,1,,,,,0.00
289,FEMALE,P,0117,N,1,MARRIED,1,,7,,1000.00,0.00
290,FEMALE,P,0117,N,1,SINGLE,1,,7,,1000.00,0.00
291,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
292,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
293,FEMALE,P,0117,N,1,MARRIED,1,,7,,1100.00,0.00
294,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
295,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
296,FEMALE,P,0117,N,1,SINGLE,1,,7,,35000.00,0.00
297,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
298,FEMALE,P,30,N,1,SINGLE,1,,,,5738.00,0.00
299,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
300,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
301,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
302,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
303,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
304,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
305,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
306,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
307,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
308,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
309,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
310,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
311,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
312,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
313,FEMALE,P,,S,1,SINGLE,1,,,,,0.00
314,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
315,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
316,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
317,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
318,FEMALE,P,,S,1,MARRIED,4,,,,,0.00
319,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
320,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
321,FEMALE,P,,S,1,MARRIED,2,,,,,0.00
322,FEMALE,P,,S,1,MARRIED,,,,,,0.00
323,FEMALE,P,,S,1,SINGLE,1,,,,,0.00
324,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
325,FEMALE,P,0117,N,1,SINGLE,1,,7,,3500.00,0.00
326,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
327,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
328,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
330,FEMALE,P,,S,1,MARRIED,5,,,,,0.00
331,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
332,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
333,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
334,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
335,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
336,FEMALE,P,0117,N,1,SINGLE,1,,7,,2500.00,0.00
337,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
338,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
339,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
